,index,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,split
15,15,324,923202105,20,RL,93.0,10114,Pave,NA,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,6,4,3,2,0.0,2,0.0,1430.0,1430.0,GasA,4,Y,3.0,1430,0,0,1430,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2004.0,3,2.0,624.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,3,2010,WD ,173500.0,Train
16,16,1311,902301140,70,RM,34.0,4571,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,2,2,BrkTil,4,4,2,2,0.0,2,0.0,624.0,624.0,GasA,1,N,3.0,624,720,0,1344,0.0,0.0,1,0,4,1,2,7,7,0,0,Detchd,1916.0,3,3.0,513.0,1,1,2,0,0,96,0,0,0,0,0,NA,0,5,2008,COD,98000.0,Train
17,17,770,905101490,20,RL,80.0,8816,Pave,NA,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,4,2,4,651.0,2,0.0,470.0,1121.0,GasA,2,Y,3.0,1121,0,0,1121,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1963.0,3,2.0,480.0,2,2,2,0,80,0,0,0,0,0,3,NA,0,6,2009,WD ,139000.0,Train
18,18,2063,905107140,20,RL,71.0,8197,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,660.0,660.0,GasA,4,Y,3.0,1285,0,0,1285,0.0,0.0,1,1,3,1,2,7,7,1,4,Attchd,1977.0,3,2.0,528.0,2,2,2,138,0,0,0,0,0,0,3,NA,0,4,2007,WD ,143500.0,Train
19,19,69,528458070,60,FV,72.0,8640,Pave,NA,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,5,4,3,7,24.0,2,0.0,732.0,756.0,GasA,4,Y,3.0,764,783,0,1547,0.0,0.0,2,1,3,1,3,7,7,0,0,Attchd,2009.0,3,2.0,614.0,2,2,2,169,45,0,0,0,0,0,0,NA,0,6,2010,Con,215200.0,Train
20,20,2062,905106150,20,RL,109.0,8724,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,5,4,2,5,492.0,2,0.0,402.0,894.0,GasA,3,Y,3.0,894,0,0,894,0.0,0.0,1,0,3,1,2,5,7,1,2,Attchd,1968.0,4,2.0,450.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,5,2007,WD ,129000.0,Train
21,21,351,527131030,120,RL,40.0,5664,Pave,NA,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,2,PConc,5,4,2,7,1158.0,2,0.0,343.0,1501.0,GasA,4,Y,3.0,1659,0,0,1659,1.0,0.0,2,0,2,1,4,5,7,1,6,Attchd,2000.0,4,2.0,499.0,2,2,2,212,59,0,0,0,0,0,0,NA,0,10,2009,WD ,278000.0,Train
22,23,12,527165230,20,RL,4380.2730588572185,7980,Pave,NA,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,PConc,5,4,2,6,935.0,2,0.0,233.0,1168.0,GasA,4,Y,3.0,1187,0,0,1187,1.0,0.0,2,0,3,1,2,6,7,0,0,Attchd,1992.0,4,2.0,420.0,2,2,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,185000.0,Train
23,24,2339,527250040,190,RL,100.0,34650,Pave,NA,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,3,4,1056.0,2,0.0,0.0,1056.0,GasA,2,N,3.0,1056,0,0,1056,1.0,0.0,1,0,3,1,2,5,7,0,0,Attchd,1955.0,4,2.0,572.0,2,2,2,264,0,0,0,0,0,0,0,NA,0,1,2006,WD ,145000.0,Train
24,25,624,535104120,20,RL,92.0,10573,Pave,NA,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,2,2,CBlock,4,4,2,4,1312.0,2,0.0,141.0,1453.0,GasA,4,Y,3.0,1453,0,0,1453,1.0,0.0,2,0,3,1,2,6,7,1,4,Attchd,1961.0,3,2.0,530.0,2,2,2,0,49,0,0,288,0,0,4,NA,0,4,2009,WD ,187500.0,Train
25,26,86,532376160,20,RL,65.0,8450,Pave,NA,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,2,7,553.0,5,117.0,224.0,894.0,GasA,4,Y,3.0,894,0,0,894,1.0,0.0,1,0,3,1,2,5,7,1,5,Detchd,1973.0,3,1.0,336.0,2,2,2,416,144,0,0,0,0,0,3,NA,0,4,2010,WD ,138500.0,Train
26,27,1534,909277040,50,RL,6422.577795587449,11700,Pave,Grvl,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,CBlock,4,4,2,5,606.0,2,0.0,336.0,942.0,GasA,4,Y,3.0,1265,673,0,1938,0.0,0.0,2,0,4,1,3,7,5,1,5,Detchd,1937.0,3,1.0,240.0,2,2,2,0,40,0,0,0,0,0,0,NA,0,7,2008,WD ,198000.0,Train
27,28,2243,911103060,190,C (all),75.0,8250,Pave,NA,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,4,4,2,2,0.0,2,0.0,957.0,957.0,GasA,1,N,3.0,1034,957,0,1991,0.0,0.0,2,0,4,2,2,9,7,0,0,NA,1980.0,0,0.0,0.0,0,0,0,0,0,133,0,0,0,0,0,NA,0,6,2007,WD ,119600.0,Train
28,29,1957,535450190,50,RL,60.0,8064,Pave,NA,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,3,2,0.0,2,0.0,672.0,672.0,GasA,4,Y,3.0,672,252,0,924,0.0,0.0,1,0,3,1,2,6,7,1,2,Detchd,2003.0,3,2.0,576.0,2,2,2,0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,122900.0,Train
29,30,380,527355150,20,RL,80.0,9600,Pave,NA,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,3,2,PConc,5,4,2,6,1104.0,2,0.0,1420.0,2524.0,GasA,2,Y,3.0,2524,0,0,2524,1.0,0.0,2,1,4,1,3,9,7,1,5,Attchd,1981.0,4,2.0,542.0,2,2,2,474,120,0,0,0,0,0,3,NA,0,7,2009,WD ,278000.0,Train
30,31,2860,909276010,70,RL,6277.091033427903,11435,Pave,NA,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,2,2,PConc,5,4,2,2,0.0,2,0.0,792.0,792.0,GasA,1,Y,3.0,792,725,0,1517,0.0,0.0,1,0,3,1,3,7,7,2,5,Detchd,1931.0,3,2.0,400.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,6,2006,WD ,230000.0,Train
31,32,2517,533250130,120,RL,30.0,9549,Pave,NA,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,PConc,5,5,3,3,437.0,7,1057.0,0.0,1494.0,GasA,4,Y,3.0,1494,0,0,1494,1.0,0.0,1,1,2,1,4,6,7,1,5,Attchd,1995.0,4,2.0,481.0,2,2,2,0,30,0,0,216,0,0,0,NA,0,4,2006,WD ,270000.0,Train
32,33,1933,535302070,20,RL,60.0,10950,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,6,441.0,2,0.0,507.0,948.0,GasA,2,Y,3.0,948,0,0,948,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1952.0,3,2.0,410.0,2,2,0,0,48,0,0,0,0,0,0,NA,0,4,2007,WD ,125000.0,Train
33,34,820,906340110,20,RL,79.0,10637,Pave,NA,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,3,2,PConc,6,4,4,7,1288.0,2,0.0,417.0,1705.0,GasA,4,Y,3.0,1718,0,0,1718,1.0,0.0,2,0,3,1,3,7,7,1,5,Attchd,2007.0,3,3.0,826.0,2,2,2,208,44,0,0,0,0,0,0,NA,0,9,2009,WD ,297000.0,Train
34,35,675,535426150,20,RL,80.0,9000,Pave,NA,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,2,2,CBlock,5,4,4,2,0.0,2,0.0,160.0,160.0,GasA,1,Y,3.0,1142,0,0,1142,0.0,0.0,1,0,2,1,2,5,7,1,5,Basment,1958.0,3,1.0,384.0,2,2,2,0,28,64,0,0,0,0,0,NA,0,4,2009,WD ,113500.0,Train
35,36,2910,923225240,160,RM,41.0,2665,Pave,NA,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,4,4,2,6,548.0,4,173.0,36.0,757.0,GasA,4,Y,3.0,925,550,0,1475,0.0,0.0,2,0,4,1,2,6,7,1,4,Attchd,1977.0,3,1.0,336.0,2,2,2,104,26,0,0,0,0,0,0,NA,0,7,2006,WD ,127000.0,Train
36,37,21,527358140,20,RL,105.0,11751,Pave,NA,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,2,2,CBlock,5,4,2,5,705.0,2,0.0,1139.0,1844.0,GasA,4,Y,3.0,1844,0,0,1844,0.0,0.0,2,0,3,1,2,7,7,1,4,Attchd,1977.0,3,2.0,546.0,2,2,2,0,122,0,0,0,0,0,3,NA,0,1,2010,COD,190000.0,Train
37,38,1873,534177210,20,RL,80.0,9600,Pave,NA,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,2,2,CBlock,4,4,2,6,916.0,2,0.0,326.0,1242.0,GasA,1,Y,3.0,1242,0,0,1242,0.0,0.0,1,1,3,1,2,6,7,1,4,Attchd,1973.0,3,2.0,528.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,9,2007,WD ,175500.0,Train
38,39,2125,907135050,20,RL,60.0,8428,Pave,NA,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,5,5,2,7,420.0,2,0.0,570.0,990.0,GasA,4,Y,3.0,990,0,0,990,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1995.0,3,1.0,384.0,2,2,2,256,0,0,0,0,0,0,0,NA,0,7,2007,WD ,146000.0,Train
39,40,1489,908102260,20,RL,75.0,9937,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,CBlock,4,4,2,5,830.0,3,290.0,136.0,1256.0,GasA,3,Y,3.0,1256,0,0,1256,1.0,0.0,1,1,3,1,2,6,7,0,0,Attchd,1965.0,4,1.0,276.0,2,2,2,736,68,0,0,0,0,0,0,NA,0,6,2008,WD ,147500.0,Train
40,42,983,923275040,85,RL,4995.7095131245815,9101,Pave,NA,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,2,3,PConc,5,4,3,7,1097.0,2,0.0,0.0,1097.0,GasA,4,Y,3.0,1110,0,0,1110,1.0,0.0,1,0,1,1,3,4,7,1,4,Attchd,1978.0,4,2.0,602.0,2,2,2,303,30,0,0,0,0,0,0,NA,0,7,2009,WD ,165500.0,Train
41,43,1325,902406090,50,RM,81.0,12150,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,2,2,BrkTil,4,4,2,2,0.0,2,0.0,1050.0,1050.0,GasA,4,N,1.0,1050,745,0,1795,0.0,0.0,2,0,4,1,2,7,7,0,0,Attchd,1954.0,3,1.0,352.0,1,2,2,0,0,0,0,0,0,0,0,NA,0,11,2008,WD ,131500.0,Train
42,44,1378,905102170,20,RL,70.0,11200,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,4,2,4,906.0,2,0.0,134.0,1040.0,GasA,4,Y,3.0,1040,0,0,1040,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1965.0,3,1.0,384.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,2,2008,WD ,129500.0,Train
43,45,1537,909281110,70,RL,100.0,9670,Pave,NA,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,2,2,PConc,4,3,2,3,210.0,2,0.0,398.0,608.0,GasA,2,Y,3.0,983,890,0,1873,0.0,0.0,1,1,4,1,2,9,7,2,5,Detchd,1935.0,4,2.0,786.0,1,2,2,0,0,207,0,0,0,0,0,NA,0,6,2008,WD ,257076.0,Train
44,46,905,909101140,50,RL,60.0,10998,Pave,Grvl,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,3,408.0,5,420.0,156.0,984.0,GasA,4,Y,3.0,984,620,0,1604,0.0,0.0,2,0,3,1,2,6,5,0,0,Detchd,1977.0,3,2.0,660.0,2,2,2,0,68,0,0,0,0,0,0,NA,0,7,2009,WD ,117000.0,Train
45,47,1532,909275050,70,RL,60.0,7200,Pave,NA,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,2,1,BrkTil,5,4,2,2,0.0,2,0.0,776.0,776.0,GasA,2,Y,3.0,851,651,0,1502,0.0,0.0,1,1,3,1,2,6,7,1,5,Attchd,1931.0,3,1.0,270.0,2,2,1,0,0,112,0,0,0,0,3,NA,0,2,2008,WD ,149000.0,Train
46,48,132,534475100,20,RL,80.0,9920,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,2,2,CBlock,4,4,2,4,354.0,3,290.0,412.0,1056.0,GasA,2,Y,3.0,1063,0,0,1063,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1954.0,3,1.0,280.0,2,2,2,0,0,164,0,0,0,0,3,NA,0,2,2010,WD ,128000.0,Train
47,49,1078,528188090,160,RL,36.0,2448,Pave,NA,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,3,2,PConc,5,4,2,2,0.0,2,0.0,764.0,764.0,GasA,4,Y,3.0,764,862,0,1626,0.0,0.0,2,1,2,1,3,6,7,0,0,BuiltIn,2003.0,3,2.0,474.0,2,2,2,0,27,0,0,0,0,0,0,NA,0,10,2008,WD ,155000.0,Train
48,50,2511,533221080,160,FV,1645.1219302577535,2998,Pave,NA,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,3,2,PConc,5,4,2,7,353.0,2,0.0,403.0,756.0,GasA,4,Y,3.0,768,756,0,1524,0.0,0.0,2,1,2,1,3,4,7,0,0,Detchd,2000.0,3,2.0,440.0,2,2,2,0,32,0,0,0,0,0,0,NA,0,6,2006,WD ,166000.0,Train
49,51,912,909250220,50,RL,65.0,7804,Pave,NA,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,2,2,BrkTil,4,4,2,5,622.0,2,0.0,500.0,1122.0,GasA,2,Y,3.0,1328,653,0,1981,1.0,0.0,2,0,4,1,3,7,5,2,4,Detchd,1981.0,3,2.0,576.0,2,2,2,431,44,0,0,0,0,0,3,NA,0,12,2009,WD ,135000.0,Train
